짜장면	면,단맛,중식,소스,야채
짬뽕	면,국물,중식,매움,해산물
짜장밥	밥,단맛,중식,계란,소스
마파두부	밥,매움,중식,두부,소스
류산슬	해산물,걸쭉함,볶음,중식,고기
오향장육	고기,중식,삶음,야채,소스
탕수육	고기,튀김,소스,중식,돼지
깐풍기	고기,닭,튀김,매움,중식
팔보채	해산물,볶음,걸쭉함,중식,소스
울면	걸쭉함,면,국물,중식,시원함
난자완스	고기,중식,볶음,튀김,소,돼지
오므라이스	밥,볶음,계란,야채,따뜻한
잡채밥	밥,중식,볶음,잡채,야채
간짜장	면,중식,볶음,소스,야채
군만두	만두,구움,중식,야채,따뜻한
물만두	삶음,만두,중식,야채,따뜻한
새우덮밥	새우,덮밥,밥,중식,볶음
깐쇼새우	튀김,새우,달콤,중식,소스
오징어덮밥	오징어,덮밥,밥,소스
비빔밥	밥,야채,고추장,한식,요리
김치찌개	김치,찌개,요리,한식,국물
된장찌개	국물,된장,찌개,한식,요리
삼계탕	닭,한식,대추,밥,국물
순두부찌개	두부,찌개,매움,국물,한식
미역국	미역,국물,한식,따뜻한
갈비탕	갈비탕,소,국물,한식,당면
돼지국밥	돼지,국물,뜨거움,밥,한식
콩나물국	국물,콩나물,해장,한식,따뜻한
떡국	떡,국물,걸쭉,한식,고명
부대찌개	찌개,햄,국물,뜨거운,매운
제육볶음	고기,볶음,돼지,매콤,한식
곰탕	국물,소고기,따뜻함,한식,우려낸
죽	국물,걸쭉,한식,밥,따뜻함
육회	달콤,고기,날것,소,한식
냉면	시원함,면,한식,국물,달콤
피자	빵,양식,치즈,토핑
파스타	면,볶음,양식,야채,소스
리조또	밥,볶음,양식,걸쭉한,야채
스프	걸쭉함,양식,따뜻함,고소,간단한
그라탕	치즈,양식,걸쭉한,따뜻한,고소한
스테이크	양식,고기,소,소스,야채
햄버거	빵,고기,야채,양식,소스
마카롱	빵,밀가루,디저트,쿠키,양식
수플레	밀가루,계란,구움,디저트,양식
타르트	빵,밀가루,파이,양식,쿠키
초콜렛	카카오,단맛,디저트,양식,달달한
스콘	빵,밀가루,계란,양식,고소한
카스텔라	빵,밀가루,계란,일식,달달한
케이크	빵,밀가루,계란,과자,양식
패스트리	빵,밀가루,계란,바삭한,고소한
아이스크림	차가움,단맛,디저트,부드러운,딱딱한
비스킷	빵,밀가루,과자,양식,쿠키
한과	쌀,밀,과자,한식
식혜	밥,액체,한식,달달한,시원한
커피	액체,쓴맛,따뜻한,시원한,디저트
셔벗	얼음,차가움,단맛,디저트
김밥	밥,야채,오이,김,분식
떡볶이	떡,볶음,매움,밀가루,분식
김말이	김,당면,튀김,분식,고소한
라면	면,국물,따뜻,밀가루,분식
만두	밀가루,튀김,삶음,고기,분식
순대	당면,내장,분식,따뜻한,삶음
오뎅	밀가루,튀김,분식,따뜻한,야채
쫄면	면,밀가루,차가움,매움,분식
튀김	기름짐,밀가루,바삭,분식
떡꼬치	떡,밀가루,튀김,소스,분식
닭꼬지	고기,닭,구움,소스,분식
닭강정	고기,닭,튀김,소스,바삭,분식
회	고기,생선,날것,일식
스시	고기,생선,날것,밥,일식
규동	고기,밥,덮밥,소,계란,일식
우동	면,국물,유부,따뜻,밀가루,일식
규카츠	고기,튀김,소,일식,따뜻한
돈까스	고기,튀김,돼지,일식,따뜻한
라멘	면,국물,따뜻,기름진,밀가루,일식
츠케멘	면,소스,찍먹,짬,일식
타코야끼	밀가루,문어,소스,일식,토핑
